timestamp,pair,timeframe,action,entry_price,stop_loss,tp1,tp2,tp3,spread_pips,outcome,hit_level,R_multiple,exit_time,exit_price,duration_minutes,atr,score6,score16,reason
2025-10-03T21:28:53+00:00,EURUSD,M15,BUY,1.17440,1.17403,1.17470,1.17500,1.17530,1.5,NONE,NONE,0.00,2025-10-03T21:28:53+00:00,1.17440,0,2.5,n/a,n/a,test injection
2025-10-03T19:15:00+00:00,EURUSD,M15,BUY,1.17440,1.17386,1.17483,1.17526,1.17570,1.5,NONE,NONE,0.00,2025-10-03T21:15:00+00:00,1.17440,120,3.6,n/a,n/a,test injection
2025-10-03T09:15:00+00:00,EURUSD,M15,BUY,1.17385,1.17305,1.17449,1.17512,1.17576,1.5,WIN,TP1,1.00,2025-10-03T13:30:00+00:00,1.17449,255,5.3,n/a,n/a,test injection
2025-10-02T21:15:00+00:00,EURUSD,M15,BUY,1.17247,1.17182,1.17299,1.17350,1.17402,1.5,WIN,TP1,1.00,2025-10-03T01:00:00+00:00,1.17299,225,4.3,n/a,n/a,test injection
2025-10-02T13:15:00+00:00,EURUSD,M15,BUY,1.17440,1.17350,1.17512,1.17584,1.17656,1.5,LOSS,SL,-1.00,2025-10-02T13:30:00+00:00,1.17350,15,6.0,n/a,n/a,test injection
2025-10-02T05:15:00+00:00,EURUSD,M15,BUY,1.17343,1.17297,1.17380,1.17417,1.17455,1.5,WIN,TP1,1.00,2025-10-02T05:45:00+00:00,1.17380,30,3.1,n/a,n/a,test injection
2025-10-01T21:15:00+00:00,EURUSD,M15,BUY,1.17316,1.17236,1.17380,1.17443,1.17507,1.5,WIN,TP1,1.00,2025-10-01T22:00:00+00:00,1.17380,45,5.3,n/a,n/a,test injection
2025-10-01T13:15:00+00:00,EURUSD,M15,BUY,1.17578,1.17409,1.17714,1.17849,1.17985,1.5,LOSS,SL,-1.00,2025-10-01T21:30:00+00:00,1.17409,495,11.3,n/a,n/a,test injection
2025-10-01T05:15:00+00:00,EURUSD,M15,BUY,1.17633,1.17570,1.17683,1.17734,1.17784,1.5,LOSS,SL,-1.00,2025-10-01T21:30:00+00:00,1.17570,975,4.2,n/a,n/a,test injection
2025-09-30T21:15:00+00:00,EURUSD,M15,BUY,1.17385,1.17327,1.17432,1.17479,1.17525,1.5,LOSS,SL,-1.00,2025-10-02T00:00:00+00:00,1.17327,1605,3.9,n/a,n/a,test injection
2025-09-30T13:15:00+00:00,EURUSD,M15,BUY,1.17247,1.17151,1.17324,1.17401,1.17477,1.5,WIN,TP1,1.00,2025-10-01T21:30:00+00:00,1.17324,1935,6.4,n/a,n/a,test injection
2025-10-02T21:15:00+00:00,EURUSD,M15,BUY,1.17247,1.17182,1.17299,1.17350,1.17402,1.5,WIN,TP1,1.00,2025-10-03T01:00:00+00:00,1.17299,225,4.3,n/a,n/a,test injection
2025-10-02T13:15:00+00:00,EURUSD,M15,BUY,1.17440,1.17350,1.17512,1.17584,1.17656,1.5,LOSS,SL,-1.00,2025-10-02T13:30:00+00:00,1.17350,15,6.0,n/a,n/a,test injection
2025-10-02T05:15:00+00:00,EURUSD,M15,BUY,1.17343,1.17297,1.17380,1.17417,1.17455,1.5,WIN,TP1,1.00,2025-10-02T05:45:00+00:00,1.17380,30,3.1,n/a,n/a,test injection
2025-10-01T21:15:00+00:00,EURUSD,M15,BUY,1.17316,1.17236,1.17380,1.17443,1.17507,1.5,WIN,TP1,1.00,2025-10-01T22:00:00+00:00,1.17380,45,5.3,n/a,n/a,test injection
2025-10-01T13:15:00+00:00,EURUSD,M15,BUY,1.17578,1.17409,1.17714,1.17849,1.17985,1.5,LOSS,SL,-1.00,2025-10-01T21:30:00+00:00,1.17409,495,11.3,n/a,n/a,test injection
2025-10-01T05:15:00+00:00,EURUSD,M15,BUY,1.17633,1.17570,1.17683,1.17734,1.17784,1.5,LOSS,SL,-1.00,2025-10-01T21:30:00+00:00,1.17570,975,4.2,n/a,n/a,test injection
