timestamp,pair,timeframe,action,entry_price,stop_loss,tp1,tp2,tp3,spread_pips,outcome,hit_level,R_multiple,exit_time,exit_price,duration_minutes,atr,score6,score16,reason
2025-10-03T19:15:00+00:00,EURUSD,M15,BUY,1.17440,1.17386,1.17483,1.17526,1.17570,1.5,NONE,NONE,0.00,2025-10-03T21:15:00+00:00,1.17440,120,3.6,n/a,n/a,test injection
2025-10-03T19:15:00+00:00,EURUSD,M15,SELL,1.17440,1.17494,1.17397,1.17354,1.17310,1.5,NONE,NONE,0.00,2025-10-03T21:15:00+00:00,1.17440,120,3.6,n/a,n/a,test injection
2025-10-03T09:15:00+00:00,EURUSD,M15,BUY,1.17385,1.17305,1.17449,1.17512,1.17576,1.5,WIN,TP1,1.00,2025-10-03T13:30:00+00:00,1.17449,255,5.3,n/a,n/a,test injection
2025-10-03T09:15:00+00:00,EURUSD,M15,SELL,1.17385,1.17465,1.17321,1.17258,1.17194,1.5,LOSS,SL,-1.00,2025-10-03T14:00:00+00:00,1.17465,285,5.3,n/a,n/a,test injection
2025-10-02T21:15:00+00:00,EURUSD,M15,BUY,1.17247,1.17182,1.17299,1.17350,1.17402,1.5,WIN,TP1,1.00,2025-10-03T01:00:00+00:00,1.17299,225,4.3,n/a,n/a,test injection
2025-10-02T21:15:00+00:00,EURUSD,M15,SELL,1.17247,1.17311,1.17195,1.17144,1.17092,1.5,LOSS,SL,-1.00,2025-10-03T01:45:00+00:00,1.17311,270,4.3,n/a,n/a,test injection
2025-10-02T13:15:00+00:00,EURUSD,M15,BUY,1.17440,1.17350,1.17512,1.17584,1.17656,1.5,LOSS,SL,-1.00,2025-10-02T13:30:00+00:00,1.17350,15,6.0,n/a,n/a,test injection
2025-10-02T13:15:00+00:00,EURUSD,M15,SELL,1.17440,1.17530,1.17368,1.17296,1.17224,1.5,WIN,TP1,1.00,2025-10-02T13:30:00+00:00,1.17368,15,6.0,n/a,n/a,test injection
2025-10-02T05:15:00+00:00,EURUSD,M15,BUY,1.17343,1.17297,1.17380,1.17417,1.17455,1.5,WIN,TP1,1.00,2025-10-02T05:45:00+00:00,1.17380,30,3.1,n/a,n/a,test injection
2025-10-02T05:15:00+00:00,EURUSD,M15,SELL,1.17343,1.17389,1.17306,1.17269,1.17231,1.5,LOSS,SL,-1.00,2025-10-02T06:00:00+00:00,1.17389,45,3.1,n/a,n/a,test injection
2025-10-01T21:15:00+00:00,EURUSD,M15,BUY,1.17316,1.17236,1.17380,1.17443,1.17507,1.5,WIN,TP1,1.00,2025-10-01T22:00:00+00:00,1.17380,45,5.3,n/a,n/a,test injection
2025-10-01T21:15:00+00:00,EURUSD,M15,SELL,1.17316,1.17396,1.17252,1.17189,1.17125,1.5,LOSS,SL,-1.00,2025-10-01T22:00:00+00:00,1.17396,45,5.3,n/a,n/a,test injection
2025-10-01T05:15:00+00:00,EURUSD,M15,BUY,1.17633,1.17570,1.17683,1.17734,1.17784,1.5,LOSS,SL,-1.00,2025-10-01T06:00:00+00:00,1.17570,45,4.2,n/a,n/a,test injection
2025-10-01T05:15:00+00:00,EURUSD,M15,SELL,1.17633,1.17696,1.17583,1.17532,1.17482,1.5,WIN,TP1,1.00,2025-10-01T05:45:00+00:00,1.17583,30,4.2,n/a,n/a,test injection
2025-09-30T21:15:00+00:00,EURUSD,M15,BUY,1.17385,1.17327,1.17432,1.17479,1.17525,1.5,WIN,TP1,1.00,2025-09-30T22:00:00+00:00,1.17432,45,3.9,n/a,n/a,test injection
2025-09-30T21:15:00+00:00,EURUSD,M15,SELL,1.17385,1.17444,1.17338,1.17291,1.17245,1.5,LOSS,SL,-1.00,2025-10-01T04:15:00+00:00,1.17444,420,3.9,n/a,n/a,test injection
2025-09-30T13:15:00+00:00,EURUSD,M15,BUY,1.17247,1.17151,1.17324,1.17401,1.17477,1.5,WIN,TP1,1.00,2025-09-30T13:30:00+00:00,1.17324,15,6.4,n/a,n/a,test injection
2025-09-30T13:15:00+00:00,EURUSD,M15,SELL,1.17247,1.17343,1.17170,1.17093,1.17017,1.5,LOSS,SL,-1.00,2025-09-30T13:45:00+00:00,1.17343,30,6.4,n/a,n/a,test injection
2025-10-02T21:15:00+00:00,EURUSD,M15,BUY,1.17247,1.17182,1.17299,1.17350,1.17402,1.5,WIN,TP1,1.00,2025-10-03T01:00:00+00:00,1.17299,225,4.3,n/a,n/a,test injection
