timestamp,pair,timeframe,action,entry_price,stop_loss,tp1,tp2,tp3,spread,atr,score16,score6,reason,original_action,rejection_reason
2025-09-07T23:01:26Z,EURUSD,M15,WAIT,8.65300,8.65300,8.65300,n/a,n/a,n/a,n/a,n/a,n/a,NO_DATA_FALLBACK,WAIT,
2025-10-03T21:28:53+00:00,EURUSD,M15,BUY,1.17440,1.17403,1.17477,1.17514,1.17551,n/a,2.5,n/a,n/a,test injection,BUY,
2025-10-03T21:28:53+00:00,EURUSD,M15,SELL,1.17440,1.17477,1.17403,1.17366,1.17329,n/a,2.5,n/a,n/a,test injection,SELL,
2025-10-03T19:15:00+00:00,EURUSD,M15,BUY,1.17440,1.17385,1.17494,1.17549,1.17604,n/a,3.6,n/a,n/a,test injection,BUY,
2025-10-03T19:15:00+00:00,EURUSD,M15,SELL,1.17440,1.17494,1.17385,1.17331,1.17276,n/a,3.6,n/a,n/a,test injection,SELL,
2025-10-03T09:15:00+00:00,EURUSD,M15,BUY,1.17385,1.17305,1.17464,1.17544,1.17624,n/a,5.3,n/a,n/a,test injection,BUY,
2025-10-03T09:15:00+00:00,EURUSD,M15,SELL,1.17385,1.17464,1.17305,1.17225,1.17146,n/a,5.3,n/a,n/a,test injection,SELL,
2025-10-02T21:15:00+00:00,EURUSD,M15,BUY,1.17247,1.17182,1.17312,1.17377,1.17441,n/a,4.3,n/a,n/a,test injection,BUY,
2025-10-02T21:15:00+00:00,EURUSD,M15,SELL,1.17247,1.17312,1.17182,1.17117,1.17053,n/a,4.3,n/a,n/a,test injection,SELL,
2025-10-02T13:15:00+00:00,EURUSD,M15,BUY,1.17440,1.17350,1.17530,1.17620,1.17711,n/a,6.0,n/a,n/a,test injection,BUY,
2025-10-02T13:15:00+00:00,EURUSD,M15,SELL,1.17440,1.17530,1.17350,1.17259,1.17169,n/a,6.0,n/a,n/a,test injection,SELL,
2025-10-02T05:15:00+00:00,EURUSD,M15,BUY,1.17343,1.17298,1.17389,1.17435,1.17481,n/a,3.1,n/a,n/a,test injection,BUY,
2025-10-02T05:15:00+00:00,EURUSD,M15,SELL,1.17343,1.17389,1.17298,1.17252,1.17206,n/a,3.1,n/a,n/a,test injection,SELL,
2025-10-01T21:15:00+00:00,EURUSD,M15,BUY,1.17316,1.17236,1.17395,1.17475,1.17555,n/a,5.3,n/a,n/a,test injection,BUY,
2025-10-01T21:15:00+00:00,EURUSD,M15,SELL,1.17316,1.17395,1.17236,1.17156,1.17077,n/a,5.3,n/a,n/a,test injection,SELL,
2025-10-01T13:15:00+00:00,EURUSD,M15,BUY,1.17578,1.17408,1.17748,1.17918,1.18088,n/a,11.3,n/a,n/a,test injection,BUY,
2025-10-01T13:15:00+00:00,EURUSD,M15,SELL,1.17578,1.17748,1.17408,1.17238,1.17068,n/a,11.3,n/a,n/a,test injection,SELL,
2025-10-01T05:15:00+00:00,EURUSD,M15,BUY,1.17633,1.17570,1.17697,1.17760,1.17824,n/a,4.2,n/a,n/a,test injection,BUY,
2025-10-01T05:15:00+00:00,EURUSD,M15,SELL,1.17633,1.17697,1.17570,1.17506,1.17442,n/a,4.2,n/a,n/a,test injection,SELL,
2025-09-30T21:15:00+00:00,EURUSD,M15,BUY,1.17385,1.17326,1.17444,1.17503,1.17562,n/a,3.9,n/a,n/a,test injection,BUY,
2025-09-30T21:15:00+00:00,EURUSD,M15,SELL,1.17385,1.17444,1.17326,1.17266,1.17207,n/a,3.9,n/a,n/a,test injection,SELL,
2025-09-30T13:15:00+00:00,EURUSD,M15,BUY,1.17247,1.17151,1.17343,1.17439,1.17535,n/a,6.4,n/a,n/a,test injection,BUY,
2025-09-30T13:15:00+00:00,EURUSD,M15,SELL,1.17247,1.17343,1.17151,1.17055,1.16959,n/a,6.4,n/a,n/a,test injection,SELL,
2025-10-02T21:15:00+00:00,EURUSD,M15,BUY,1.17247,1.17182,1.17312,1.17377,1.17441,n/a,4.3,n/a,n/a,test injection,BUY,
2025-10-02T21:15:00+00:00,EURUSD,M15,SELL,1.17247,1.17312,1.17182,1.17117,1.17053,n/a,4.3,n/a,n/a,test injection,SELL,
2025-10-02T13:15:00+00:00,EURUSD,M15,BUY,1.17440,1.17350,1.17530,1.17620,1.17711,n/a,6.0,n/a,n/a,test injection,BUY,
2025-10-02T13:15:00+00:00,EURUSD,M15,SELL,1.17440,1.17530,1.17350,1.17259,1.17169,n/a,6.0,n/a,n/a,test injection,SELL,
2025-10-02T05:15:00+00:00,EURUSD,M15,BUY,1.17343,1.17298,1.17389,1.17435,1.17481,n/a,3.1,n/a,n/a,test injection,BUY,
2025-10-02T05:15:00+00:00,EURUSD,M15,SELL,1.17343,1.17389,1.17298,1.17252,1.17206,n/a,3.1,n/a,n/a,test injection,SELL,
